000000, 202020, 515199, 6666AA, 7A7ACC, BBBBFF, 5A5A5A, 000000, 5B5B5B, 773F77, 070777, 553311, 66361B, EE7E5F, 00FF00, FFBBBB
000000, 202020, 773F1F, 88482D, AA5A22, 00441F, FF2200, FF8822, FFCC00, FFFFFF, 551C00, 098848, EE7E7E, 6784DD, 0B4FAA, 0000AA
000000, 202020, 000000, 222222, 3F3F44, 4F4F55, 666666, 666666, 888888, 000000, 888888, 662866, AA66AA, 553333, 55221C, 661414
000000, 202020, FFFFFF, 333333, 5F5F66, 6F6F77, 888888, 999999, BBBBBB, 000000, FFFFFF, 993D99, CC7ACC, 663D3D, 662822, 881B1B
000000, 202020, FF0000, 555555, 7E7E88, 9E9EAA, CCCCCC, DDDDDD, FFFFFF, 000000, FF0000, FF66FF, FF99FF, 995B5B, 662822, CC2828
000000, 202020, 444A66, 636388, 7C7CBB, B0A2DD, DDDDFF, FFFFFF, 552727, 663D3D, 885A5A, 997070, AA8888, CCB0B0, 3E3E55, FF0000
000000, 202020, 221B0B, 552D16, 553322, 663628, AA8800, 664A06, 663D44, 661400, 880000, 662222, 11010A, 440000, 660606, AAAAAA
000000, 202020, 332811, 773F1F, 77472F, 884836, CCA300, 99700A, 995B66, 991E00, CC0000, 993333, 220214, 660000, 880909, CCCCCC
000000, 202020, 443616, 995128, BB704A, DD7558, FFCC00, FFBB11, FF99AA, FF3300, FF0000, FF5555, 33031E, 990000, DD0E0E, FFFFFF
000000, 202020, 000000, 000000, 995B66, AA6671, 140014, 440036, 51003D, 484848, 7A7A99, 440D0D, 552D33, 773F17, BB7031, 990A0A
000000, 202020, FFFFFF, 000000, 995B66, CC7A88, 280028, 660051, 6C0051, 484848, 8888AA, 551111, 66363D, 773F17, BB7031, BB0C0C
000000, 202020, FF0000, 000000, 995B66, EE8E9E, 3D003D, 88006C, 880066, 484848, 9595BB, 661414, 773F47, 773F17, BB7031, DD0E0E
000000, 202020, 881B24, AA382D, BB704A, BB704A, BB894A, 663D3D, FF99AA, BB0000, FF3300, FFBB33, 661B22, 994747, 66FFFF, FFFFFF
000000, 202020, 663D14, 995128, CC6C28, FF6666, CCA36C, 88636C, FF99AA, 2255FF, 4488FF, 88BBFF, 000077, DDDDDD, 0E0E0E, FFFFFF
000000, 202020, 663D14, 995128, DD7558, FF99AA, 99845B, CCA36C, FFFF66, DDDDDD, FFFFFF, 000000, 000000, 000000, 771F17, 000000
000000, 202020, 663D14, 995128, DD7558, FF99AA, 99845B, CCA36C, FFFF66, DDDDDD, FFFFFF, 006606, 009900, 00CC51, 771F17, 2D2444
